trade_date,symbol,event
2026-07-16,COST,newly_flagged
2026-07-16,GE,newly_flagged
2026-07-21,INTC,newly_flagged
2026-07-23,AMZN,newly_flagged
2026-07-23,GOOGL,newly_flagged
2026-07-23,TSLA,newly_flagged
2026-07-27,NVDA,newly_flagged
2026-07-29,BAC,newly_flagged
2026-07-29,JPM,newly_flagged
2026-07-30,AMD,newly_flagged
2026-07-30,AMZN,newly_flagged
2026-07-30,INTC,newly_flagged
2026-07-30,META,newly_flagged
2026-07-30,MSFT,newly_flagged
2026-07-31,AAPL,newly_flagged
2026-07-31,GOOGL,newly_flagged
2026-08-04,CSCO,newly_flagged
2026-08-04,INTC,newly_flagged
2026-08-10,XOM,newly_flagged
2026-08-13,CSCO,newly_flagged
2026-08-18,ABBV,newly_flagged
2026-08-18,JNJ,newly_flagged
2026-08-19,GE,newly_flagged
