symbol,annualized_return_pct,annualized_vol_pct,sharpe,sortino,pct_anomalous
JNJ,52.69,19.01,2.56,4.38,5.1
INTC,170.04,77.38,2.15,3.89,6.3
GOOGL,64.99,31.98,1.91,3.32,5.1
AMD,128.89,69.78,1.79,3.07,5.5
CSCO,56.02,33.2,1.57,1.98,6.3
BAC,34.7,21.28,1.44,2.01,5.5
AAPL,38.63,25.28,1.37,1.93,6.3
XOM,37.53,24.98,1.34,2.0,5.1
ABBV,32.98,25.73,1.13,1.82,4.4
JPM,26.1,21.89,1.01,1.39,5.1
GE,34.1,31.51,0.96,1.39,4.0
UNH,39.14,38.68,0.91,1.13,4.4
NVDA,32.29,35.97,0.79,1.27,4.8
WMT,21.56,24.05,0.73,1.06,4.4
AMZN,20.5,34.55,0.48,0.81,5.1
TSLA,19.06,46.24,0.33,0.48,4.0
V,7.82,21.54,0.18,0.29,3.7
MSFT,3.92,31.39,0.0,0.0,6.6
COST,1.84,19.43,-0.11,-0.16,5.5
META,-8.51,39.12,-0.32,-0.46,5.5
